"object_name"	"n_taxa"	"min_sample_sums"	"max_sample_sums"	"mean_sample_sums"	"median_sample_sums"
"~/Desktop/Targeted-fungi/processed_data/winter.vacuum.hydro.ps.RDS"	"7"	"0"	"0.14"	"0.03"	"0.02"
"~/Desktop/Targeted-fungi/processed_data/winter.DC.hydro.ps.RDS"	"7"	"0"	"0.13"	"0.02"	"0.01"
"~/Desktop/Targeted-fungi/processed_data/winter.vacuum.meso.ps.RDS"	"35"	"0"	"0.21"	"0.04"	"0.03"
"~/Desktop/Targeted-fungi/processed_data/winter.DC.meso.ps.RDS"	"35"	"0"	"0.39"	"0.13"	"0.1"
"~/Desktop/Targeted-fungi/processed_data/winter.vacuum.xero.ps.RDS"	"18"	"0"	"0.08"	"0.01"	"0.01"
"~/Desktop/Targeted-fungi/processed_data/winter.DC.xero.ps.RDS"	"18"	"0"	"0.46"	"0.1"	"0.05"
"~/Desktop/Targeted-fungi/processed_data/summer.vacuum.hydro.ps.RDS"	"7"	"0"	"0.12"	"0.02"	"0.01"
"~/Desktop/Targeted-fungi/processed_data/summer.DC.hydro.ps.RDS"	"7"	"0"	"0.03"	"0.01"	"0"
"~/Desktop/Targeted-fungi/processed_data/summer.vacuum.meso.ps.RDS"	"35"	"0"	"0.28"	"0.12"	"0.1"
"~/Desktop/Targeted-fungi/processed_data/summer.DC.meso.ps.RDS"	"35"	"0.06"	"0.54"	"0.31"	"0.33"
"~/Desktop/Targeted-fungi/processed_data/summer.vacuum.xero.ps.RDS"	"18"	"0"	"0.16"	"0.02"	"0.01"
"~/Desktop/Targeted-fungi/processed_data/summer.DC.xero.ps.RDS"	"18"	"0"	"0.31"	"0.05"	"0.01"
