"","object_name","category","no_0_num","yes_1_num","yes_2_num","ArithMeans","EstRelChange1","conf.int1","EstRelChange2","conf.int2","model_p"
"1","~/Desktop/Targeted-fungi/processed_data/winter.vacuum.hydro.ps.RDS","mold_dam_in_unit",15,16,NA,"0.020, 0.048",2.37621735978306,"1.26, 4.47",NA,NA,0.01
"2","~/Desktop/Targeted-fungi/processed_data/winter.vacuum.hydro.ps.RDS","num_discrete_mold_areas_cat",15,12,4,"0.020, 0.047, 0.053",2.29356881216754,"1.17, 4.58",2.62415659620308,"1.06, 7.88",0.04
"3","~/Desktop/Targeted-fungi/processed_data/winter.vacuum.hydro.ps.RDS","mold_size_in_unit_cat",15,10,6,"0.020, 0.048, 0.048",2.38578273206289,"1.18, 4.99",2.36027612647274,"1.05, 5.86",0.04
"4","~/Desktop/Targeted-fungi/processed_data/winter.vacuum.hydro.ps.RDS","dam_index",11,11,9,"0.024, 0.039, 0.043",1.65557954709518,"0.75, 3.67",1.80770118945821,"0.79, 4.24",0.33
"5","~/Desktop/Targeted-fungi/processed_data/winter.vacuum.hydro.ps.RDS","total_dam_in_unit",5,26,NA,"0.016, 0.038",2.37461139540229,"0.87, 5.39",NA,NA,0.06
"6","~/Desktop/Targeted-fungi/processed_data/winter.vacuum.hydro.ps.RDS","num_discrete_dam_areas_cat",5,17,9,"0.016, 0.034, 0.046",2.13634116869217,"0.77, 5.07",2.82462448219019,"0.95, 7.57",0.18
"7","~/Desktop/Targeted-fungi/processed_data/winter.vacuum.hydro.ps.RDS","total_dam_size_in_unit_cat",5,19,7,"0.016, 0.036, 0.043",2.26078331555804,"0.82, 5.3",2.68355290625164,"0.87, 7.77",0.22
"8","~/Desktop/Targeted-fungi/processed_data/winter.vacuum.hydro.ps.RDS","num_mmr_cat_binary",20,11,NA,"0.039, 0.028",0.715500215194744,"0.36, 1.49",NA,NA,0.35
"9","~/Desktop/Targeted-fungi/processed_data/winter.DC.hydro.ps.RDS","mold_dam_in_unit",28,14,NA,"0.020, 0.034",1.64510352568826,"0.69, 4.27",NA,NA,0.27
"10","~/Desktop/Targeted-fungi/processed_data/winter.DC.hydro.ps.RDS","num_discrete_mold_areas_cat",28,9,5,"0.020, 0.042, 0.018",2.0757409382828,"0.79, 6.57",0.869870149840848,"0.27, 4.18",0.3
"11","~/Desktop/Targeted-fungi/processed_data/winter.DC.hydro.ps.RDS","mold_size_in_unit_cat",28,6,8,"0.020, 0.045, 0.025",2.17945820490273,"0.73, 9.1",1.24442564809141,"0.46, 4.25",0.41
"12","~/Desktop/Targeted-fungi/processed_data/winter.DC.hydro.ps.RDS","dam_index",21,10,11,"0.018, 0.039, 0.025",2.15478396463618,"0.8, 6.65",1.39257667636665,"0.53, 4.11",0.33
"13","~/Desktop/Targeted-fungi/processed_data/winter.DC.hydro.ps.RDS","total_dam_in_unit",15,27,NA,"0.011, 0.032",2.83809807901134,"1.16, 6.48",NA,NA,0.02
"14","~/Desktop/Targeted-fungi/processed_data/winter.DC.hydro.ps.RDS","num_discrete_dam_areas_cat",15,18,9,"0.011, 0.038, 0.020",3.36285448541765,"1.32, 8.37",1.7881835526252,"0.61, 5.8",0.05
"15","~/Desktop/Targeted-fungi/processed_data/winter.DC.hydro.ps.RDS","total_dam_size_in_unit_cat",15,16,11,"0.011, 0.036, 0.027",3.18372743296229,"1.21, 8.28",2.33538620772819,"0.83, 6.97",0.07
"16","~/Desktop/Targeted-fungi/processed_data/winter.DC.hydro.ps.RDS","num_mmr_cat_binary",28,14,NA,"0.023, 0.028",1.17600530071312,"0.49, 3.08",NA,NA,0.72
"17","~/Desktop/Targeted-fungi/processed_data/winter.vacuum.meso.ps.RDS","mold_dam_in_unit",16,16,NA,"0.055, 0.023",0.418111673708192,"0.24, 0.73",NA,NA,0
"18","~/Desktop/Targeted-fungi/processed_data/winter.vacuum.meso.ps.RDS","num_discrete_mold_areas_cat",16,12,4,"0.055, 0.023, 0.024",0.411473742190425,"0.23, 0.76",0.438026903501678,"0.19, 1.16",0.02
"19","~/Desktop/Targeted-fungi/processed_data/winter.vacuum.meso.ps.RDS","mold_size_in_unit_cat",16,10,6,"0.055, 0.024, 0.021",0.441801015400825,"0.24, 0.85",0.378629619269501,"0.18, 0.85",0.02
